ID,recommendedProjects
12056,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12057,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12058,140|134|360|130|437|118|414|441|128|442|140|134|360|130|437|118|414|441|128|442|140|134|360|130|437|118|414|441|128|442|140|134|360|130|437|118|414|441|128|442
12059,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12060,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12061,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12062,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12063,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12064,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12065,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12066,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12067,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12068,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12069,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12070,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12071,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12072,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12073,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12074,140|134|3|360|130|437|414|441|128|442|140|134|3|360|130|437|414|441|128|442|140|134|3|360|130|437|414|441|128|442|140|134|3|360|130|437|414|441|128|442
12075,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12076,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12077,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12078,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12079,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12080,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12081,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12082,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12083,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12084,140|134|3|360|130|437|118|414|441|442|140|134|3|360|130|437|118|414|441|442|140|134|3|360|130|437|118|414|441|442|140|134|3|360|130|437|118|414|441|442
12085,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12086,140|134|3|360|437|118|414|441|128|442|140|134|3|360|437|118|414|441|128|442|140|134|3|360|437|118|414|441|128|442|140|134|3|360|437|118|414|441|128|442
12087,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12088,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12089,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12090,140|3|360|130|437|118|414|441|128|442|140|3|360|130|437|118|414|441|128|442|140|3|360|130|437|118|414|441|128|442|140|3|360|130|437|118|414|441|128|442
12091,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12092,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
12093,134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442|134|3|360|130|437|118|414|441|128|442
